Sample ID,Organism Name,Chemical Used,Energy Source,Depth,Temperature,Oxygen level,Ph,Primary Byproduct,Latitude,Longitude
41,Alkaline Bacteria,Ammonia,Underwater Volcanoes,2690,379.1,8.6,8,Carbon Dioxide,17.5,145.5
42,Seep Crab,Methane,Hydrothermal Vents,2567,259.8,4.6,5.7,Carbon Dioxide,-25,70
43,Alkaline Bacteria,Ammonia,Cold Seeps,2285,309.8,1.2,5.7,Nitrogen,35,20
44,Methane Shrimp,Ammonia,Hydrothermal Vents,1413,311.7,4.8,7.2,Carbon Dioxide,12.8,-103.9
45,Methane Shrimp,Ammonia,Cold Seeps,2491,366.5,2.9,7.2,Sulfur,24.5,-88
46,Tube Worm,Ammonia,Underwater Volcanoes,802,242.4,7.2,7.3,Carbon Dioxide,17.5,145.5
47,Sulfur Worm,Methane,Hydrothermal Vents,2793,145,9.7,5.7,Nitrogen,-25,70
48,Hydrogen Bacteria,Hydrogen Sulfide,Cold Seeps,3573,171.7,6.4,5.7,Sulfur,24.5,-88
49,Hydrogen Bacteria,Methane,Cold Seeps,3077,194.2,9.3,7.5,Sulfur,24.5,-88
50,Sulfur Worm,Ammonia,Underwater Volcanoes,2304,233.4,0.8,7,Carbon Dioxide,15,-160
51,Thermophilic Fish,Methane,Cold Seeps,2266,330.4,6.1,7.8,Nitrogen,39.2,141.5
52,Thermophilic Fish,Ammonia,Cold Seeps,3235,288.7,4.1,6.5,Sulfur,35,20
53,Alkaline Bacteria,Ammonia,Cold Seeps,3613,176.8,8.5,8.4,Sulfur,35,20
54,Hydrogen Bacteria,Hydrogen,Hydrothermal Vents,3918,293,7.8,5.8,Sulfur,0,-30
55,Methane Shrimp,Ammonia,Underwater Volcanoes,1514,371.8,6.6,7,Nitrogen,15,-160
56,Seep Crab,Methane,Underwater Volcanoes,3424,203.6,7.8,7.9,Nitrogen,15,-160
57,Seep Crab,Methane,Underwater Volcanoes,3279,177.6,9.3,5.8,Nitrogen,15,-160
58,Sulfur Worm,Methane,Underwater Volcanoes,542,54.8,9.7,7.6,Nitrogen,15,-160
59,Methane Shrimp,Methane,Hydrothermal Vents,2251,201.2,8.8,6,Sulfur,12.8,-103.9
60,Vent Crustacean,Methane,Underwater Volcanoes,2889,204.5,2.9,5.8,Sulfur,-37.5,-110.5
61,Seep Crab,Methane,Cold Seeps,3054,389.3,6.3,6,Nitrogen,35,20
62,Seep Crab,Methane,Underwater Volcanoes,1965,109.1,1.9,8,Sulfur,17.5,145.5
63,Thermophilic Fish,Methane,Hydrothermal Vents,2505,313.4,9.8,5.6,Sulfur,12.8,-103.9
64,Alkaline Bacteria,Methane,Cold Seeps,540,270.6,4.8,7.2,Carbon Dioxide,24.5,-88
65,Sulfur Worm,Hydrogen,Hydrothermal Vents,2108,220.9,4.7,6.1,Carbon Dioxide,12.8,-103.9
66,Sulfur Worm,Ammonia,Underwater Volcanoes,1005,252.2,7,6.5,Nitrogen,17.5,145.5
67,Seep Crab,Ammonia,Underwater Volcanoes,1262,215.1,8.3,7.7,Sulfur,17.5,145.5
68,Methane Shrimp,Ammonia,Underwater Volcanoes,3465,84.6,0.6,8.5,Nitrogen,15,-160
69,Thermophilic Fish,Methane,Underwater Volcanoes,1753,153,5.4,5.6,Sulfur,-37.5,-110.5
70,Thermophilic Fish,Methane,Cold Seeps,3702,95.7,1.5,6.5,Nitrogen,39.2,141.5
71,Thermophilic Fish,Ammonia,Hydrothermal Vents,2723,202.2,1.7,7.5,Nitrogen,12.8,-103.9
72,Seep Crab,Hydrogen Sulfide,Underwater Volcanoes,3471,386.6,7.1,5.8,Carbon Dioxide,15,-160
73,Alkaline Bacteria,Ammonia,Cold Seeps,2674,114,5.2,6.3,Carbon Dioxide,24.5,-88
74,Sulfur Worm,Ammonia,Cold Seeps,2899,236.7,5,7.3,Carbon Dioxide,24.5,-88
75,Sulfur Worm,Methane,Hydrothermal Vents,2654,134.1,0.8,7.1,Nitrogen,-25,70
76,Hydrogen Bacteria,Hydrogen,Underwater Volcanoes,1170,273.6,7.5,5.7,Sulfur,17.5,145.5
77,Methane Shrimp,Hydrogen Sulfide,Hydrothermal Vents,3676,272.8,5.2,6.9,Sulfur,0,-30
78,Alkaline Bacteria,Hydrogen,Cold Seeps,706,339.3,6.2,6,Carbon Dioxide,39.2,141.5
79,Sulfur Worm,Hydrogen Sulfide,Cold Seeps,1428,287.5,1.5,8.3,Carbon Dioxide,24.5,-88
80,Alkaline Bacteria,Hydrogen,Hydrothermal Vents,3772,287.6,5.2,6.6,Carbon Dioxide,0,-30
81,Alkaline Bacteria,Ammonia,Cold Seeps,3939,345.7,1.7,8.2,Sulfur,39.2,141.5
82,Methane Shrimp,Hydrogen,Underwater Volcanoes,3431,244.2,8.3,8.1,Sulfur,15,-160
83,Hydrogen Bacteria,Methane,Underwater Volcanoes,816,93.8,8.5,7.4,Sulfur,17.5,145.5
84,Tube Worm,Ammonia,Cold Seeps,1098,82.5,6.8,8.3,Nitrogen,39.2,141.5
85,Tube Worm,Hydrogen Sulfide,Underwater Volcanoes,1043,146.1,0.8,7.5,Nitrogen,17.5,145.5
86,Sulfur Worm,Hydrogen,Cold Seeps,2189,247.3,3.1,8.3,Sulfur,35,20
87,Hydrogen Bacteria,Hydrogen,Hydrothermal Vents,1091,178.6,2.8,7.6,Sulfur,0,-30
88,Alkaline Bacteria,Hydrogen,Cold Seeps,2759,397.1,5.8,8.4,Nitrogen,24.5,-88
89,Hydrogen Bacteria,Ammonia,Underwater Volcanoes,2241,297.4,7.1,7,Sulfur,17.5,145.5
90,Sulfur Worm,Ammonia,Cold Seeps,3418,256.1,1.1,8.1,Nitrogen,35,20
91,Vent Crustacean,Ammonia,Underwater Volcanoes,662,191.3,3.8,6.6,Nitrogen,17.5,145.5
92,Sulfur Worm,Ammonia,Underwater Volcanoes,1881,291.1,4.3,5.7,Sulfur,15,-160
93,Methane Shrimp,Methane,Hydrothermal Vents,2450,276.9,4.9,6.3,Sulfur,12.8,-103.9
94,Seep Crab,Methane,Cold Seeps,3832,204,0.8,8.1,Sulfur,39.2,141.5
95,Seep Crab,Hydrogen Sulfide,Hydrothermal Vents,2748,325,5.6,7.7,Carbon Dioxide,0,-30
96,Hydrogen Bacteria,Methane,Underwater Volcanoes,1342,206.3,8.2,5.5,Carbon Dioxide,17.5,145.5
97,Seep Crab,Hydrogen Sulfide,Underwater Volcanoes,1341,60.5,6.4,6.8,Nitrogen,-37.5,-110.5
98,Sulfur Worm,Hydrogen,Cold Seeps,621,276.9,8.8,6.5,Sulfur,24.5,-88
99,Alkaline Bacteria,Ammonia,Underwater Volcanoes,3784,297.7,2,6.6,Sulfur,15,-160
100,Seep Crab,Ammonia,Underwater Volcanoes,3448,96,4.7,6.6,Carbon Dioxide,17.5,145.5
